snr_bin,cutoff_0.001,cutoff_0.005,cutoff_0.01,cutoff_0.02,cutoff_0.03,cutoff_0.04,cutoff_0.05,cutoff_0.06,cutoff_0.07,cutoff_0.08,cutoff_0.09,cutoff_0.1,cutoff_0.5,cutoff_1.0
20.5,0.038461538461538464,0.17307692307692307,0.3410931174089069,0.5941295546558705,0.728744939271255,0.7995951417004049,0.8380566801619433,0.8623481781376519,0.8785425101214575,0.8866396761133604,0.8937246963562753,0.9008097165991903,0.9939271255060729,0.9989878542510121
21.5,0.03431372549019608,0.19705882352941176,0.37549019607843137,0.6784313725490196,0.8176470588235294,0.8852941176470588,0.9127450980392157,0.9274509803921569,0.9382352941176471,0.946078431372549,0.9480392156862745,0.95,0.9970588235294118,1.0
22.5,0.03907815631262525,0.21042084168336672,0.4198396793587174,0.717434869739479,0.8527054108216433,0.9018036072144289,0.9188376753507014,0.9288577154308617,0.935871743486974,0.9438877755511023,0.9488977955911824,0.9509018036072144,0.9949899799599199,1.0
23.5,0.036231884057971016,0.2194616977225673,0.43995859213250516,0.7463768115942029,0.8747412008281573,0.9161490683229814,0.9440993788819876,0.9585921325051759,0.9658385093167702,0.9720496894409938,0.9751552795031055,0.9751552795031055,0.9958592132505176,0.9989648033126294
24.5,0.060362173038229376,0.25251509054325955,0.4768611670020121,0.7826961770623743,0.9114688128772636,0.9476861167002012,0.9587525150905433,0.9627766599597586,0.971830985915493,0.9778672032193159,0.9788732394366197,0.9798792756539235,0.9979879275653923,1.0
25.5,0.03903903903903904,0.24524524524524524,0.4874874874874875,0.8228228228228228,0.9179179179179179,0.958958958958959,0.968968968968969,0.975975975975976,0.980980980980981,0.985985985985986,0.987987987987988,0.987987987987988,0.994994994994995,1.0
26.5,0.04639175257731959,0.2463917525773196,0.5072164948453608,0.8701030927835052,0.9422680412371134,0.9587628865979382,0.9721649484536082,0.9762886597938144,0.9804123711340206,0.9845360824742269,0.98659793814433,0.9876288659793815,1.0,1.0
27.5,0.047379032258064516,0.2368951612903226,0.530241935483871,0.8709677419354839,0.9526209677419355,0.9758064516129032,0.9828629032258065,0.9929435483870968,0.9949596774193549,0.9969758064516129,0.9969758064516129,0.9979838709677419,0.9979838709677419,0.998991935483871
28.5,0.0547945205479452,0.29158512720156554,0.541095890410959,0.8737769080234834,0.961839530332681,0.9892367906066536,0.9951076320939335,0.99706457925636,0.99706457925636,0.9980430528375733,0.9980430528375733,0.9990215264187867,0.9990215264187867,1.0
29.5,0.05708848715509039,0.2844909609895338,0.5613701236917221,0.9019980970504282,0.9705042816365367,0.9895337773549001,0.9952426260704091,0.9971455756422455,0.9971455756422455,1.0,1.0,1.0,1.0,1.0
30.5,0.04926108374384237,0.2738916256157635,0.5497536945812808,0.896551724137931,0.9704433497536946,0.9842364532019704,0.9901477832512315,0.9921182266009853,0.9921182266009853,0.9950738916256158,0.9970443349753695,0.9970443349753695,1.0,1.0
31.5,0.046700507614213196,0.27614213197969545,0.6030456852791878,0.9096446700507614,0.965482233502538,0.9827411167512691,0.9918781725888325,0.9969543147208122,0.9969543147208122,0.9969543147208122,0.9979695431472081,0.9979695431472081,1.0,1.0
32.5,0.06568627450980392,0.2911764705882353,0.5980392156862745,0.9156862745098039,0.9784313725490196,0.9901960784313726,0.9941176470588236,0.9970588235294118,0.9980392156862745,0.9990196078431373,0.9990196078431373,0.9990196078431373,1.0,1.0
33.5,0.04822834645669291,0.31791338582677164,0.625,0.9143700787401575,0.9655511811023622,0.9881889763779528,0.9931102362204725,0.9970472440944882,0.9990157480314961,0.9990157480314961,0.9990157480314961,0.9990157480314961,1.0,1.0
34.5,0.07216494845360824,0.3288659793814433,0.6278350515463917,0.9268041237113402,0.9752577319587629,0.9907216494845361,0.9958762886597938,0.9989690721649485,1.0,1.0,1.0,1.0,1.0,1.0
35.5,0.0647410358565737,0.32768924302788843,0.6185258964143426,0.9262948207171314,0.9800796812749004,0.9920318725099602,0.9950199203187251,0.99800796812749,1.0,1.0,1.0,1.0,1.0,1.0
36.5,0.0525783619817998,0.31749241658240646,0.6248736097067745,0.9201213346814965,0.9686552072800809,0.9878665318503539,0.9919110212335692,0.9969666329625885,0.9989888776541962,1.0,1.0,1.0,1.0,1.0
37.5,0.05589430894308943,0.34247967479674796,0.6615853658536586,0.9186991869918699,0.967479674796748,0.9817073170731707,0.9939024390243902,0.9979674796747967,0.9989837398373984,1.0,1.0,1.0,1.0,1.0
38.5,0.06038894575230297,0.32446264073694986,0.6345957011258956,0.9078812691914022,0.9580348004094166,0.9785056294779939,0.9866939611054247,0.9938587512794268,0.9979529170931423,0.9989764585465711,0.9989764585465711,0.9989764585465711,1.0,1.0
39.5,0.051923076923076926,0.32884615384615384,0.6740384615384616,0.9278846153846154,0.9778846153846154,0.9846153846153847,0.9903846153846154,0.9971153846153846,1.0,1.0,1.0,1.0,1.0,1.0
