snr,rel_error,rel_diff_chirp_mass
22.050537,0.042479285399055274,0.042479285399055274
22.1151,-0.008798610282080574,0.008798610282080574
27.952162,0.011671529876510272,0.011671529876510272
26.149582,0.0031818324872025967,0.0031818324872025967
23.44818,0.00315160730766356,0.00315160730766356
22.115477,0.02371112245059729,0.02371112245059729
27.469711,-0.006175713796117595,0.006175713796117595
22.663021,0.06231085395367569,0.06231085395367569
28.56736,0.007507345515578332,0.007507345515578332
21.764,-0.011282942090074933,0.011282942090074933
27.04066,0.009066360070681113,0.009066360070681113
26.005781,-0.04499323406225565,0.04499323406225565
24.385212,-0.01459497788767846,0.01459497788767846
22.600056,0.014621744986381108,0.014621744986381108
24.352222,0.00039357825303707687,0.00039357825303707687
21.839684,0.017168077383943152,0.017168077383943152
20.908653,0.75500375035308,0.75500375035308
25.185326,0.004906954660355038,0.004906954660355038
24.474205,0.018954226017527304,0.018954226017527304
28.90832,-0.002368984569050734,0.002368984569050734
23.308851,-0.0016929217255550538,0.0016929217255550538
28.525385,0.005744479748289194,0.005744479748289194
23.750196,0.005878044065446782,0.005878044065446782
25.16777,0.005206554772990266,0.005206554772990266
28.653095,0.030685214206646928,0.030685214206646928
25.01629,0.004082929870719431,0.004082929870719431
29.092808,0.010109388084255827,0.010109388084255827
21.650549,0.014696655152468745,0.014696655152468745
20.19946,0.0022778762017855287,0.0022778762017855287
20.594936,0.0017155399331091228,0.0017155399331091228
27.676813,0.02094670781381279,0.02094670781381279
26.847708,0.008053651702553101,0.008053651702553101
28.40745,-0.00620090192736282,0.00620090192736282
24.4805,-0.002766318619153725,0.002766318619153725
28.691298,0.009089125610302813,0.009089125610302813
24.341003,0.0006940366073167235,0.0006940366073167235
21.670673,0.42864397144804295,0.42864397144804295
29.079458,0.013720455269534132,0.013720455269534132
25.056637,0.022463229814387524,0.022463229814387524
28.782253,0.010242181374064794,0.010242181374064794
24.464077,-0.008705967121216684,0.008705967121216684
25.370867,0.009848715690874978,0.009848715690874978
25.539288,0.011463445900816766,0.011463445900816766
29.621372,0.017575634029413593,0.017575634029413593
23.354918,0.014764294089795491,0.014764294089795491
22.116385,-0.000732073291726916,0.000732073291726916
26.52591,0.0011804233248778983,0.0011804233248778983
29.418013,-0.014244089478256644,0.014244089478256644
22.811552,0.0015930784730779693,0.0015930784730779693
27.785442,0.026857217467452513,0.026857217467452513
27.251472,-0.006642913405457962,0.006642913405457962
20.296022,-0.023694815330772504,0.023694815330772504
22.072638,-0.07304904261084297,0.07304904261084297
21.566423,0.016931836923019583,0.016931836923019583
20.188797,0.061253603474015726,0.061253603474015726
24.902325,0.017214106622522964,0.017214106622522964
20.195898,0.021525214608555884,0.021525214608555884
29.47647,0.03333015150628731,0.03333015150628731
20.09414,0.021881377848566613,0.021881377848566613
29.260504,0.013103376816091363,0.013103376816091363
28.735128,-0.001715184570564045,0.001715184570564045
24.9769,0.01205291939550801,0.01205291939550801
22.681028,-0.018904115650422954,0.018904115650422954
25.480818,0.007922503990937847,0.007922503990937847
20.442812,0.008565565836985539,0.008565565836985539
27.059814,0.013043208164940995,0.013043208164940995
21.071249,-0.024705807595415876,0.024705807595415876
23.681065,-0.008483831881411682,0.008483831881411682
22.527075,0.002289424036310469,0.002289424036310469
23.146877,0.022365534141900255,0.022365534141900255
23.00028,0.01945922300791725,0.01945922300791725
20.429003,0.012580214336901156,0.012580214336901156
24.144745,0.007129737606803539,0.007129737606803539
22.180325,0.017796043351148587,0.017796043351148587
23.450556,0.003949825238282882,0.003949825238282882
25.176674,0.022273133829188246,0.022273133829188246
20.064121,0.029056533962767,0.029056533962767
27.203182,-0.03943930519994978,0.03943930519994978
20.549774,0.10180857788022567,0.10180857788022567
22.733816,-0.0020385583340350507,0.0020385583340350507
29.491804,0.0033763997101260387,0.0033763997101260387
29.794836,0.005466348753610825,0.005466348753610825
28.440048,-0.008841066367623487,0.008841066367623487
25.05996,0.013083232097805236,0.013083232097805236
26.110146,0.019183831073420702,0.019183831073420702
24.978426,-0.0036320728165426764,0.0036320728165426764
28.17094,0.010405234286071829,0.010405234286071829
24.535387,-0.0023497371636956466,0.0023497371636956466
28.5031,0.01090344573805844,0.01090344573805844
20.093365,-0.046691339683602937,0.046691339683602937
21.051771,-0.004025164156369149,0.004025164156369149
28.736513,0.006035017234746111,0.006035017234746111
27.422916,0.011419999177898413,0.011419999177898413
21.960743,0.03823848967128182,0.03823848967128182
23.60958,0.020424053901970433,0.020424053901970433
28.1321,0.007382607816944047,0.007382607816944047
26.574263,0.006007749749647082,0.006007749749647082
27.982811,0.009855699582661626,0.009855699582661626
22.11832,0.004395416701609545,0.004395416701609545
28.740877,-0.016911889933985614,0.016911889933985614
22.933002,0.012928141447388412,0.012928141447388412
25.71209,0.0023048807732887183,0.0023048807732887183
20.471678,-0.028879265785725396,0.028879265785725396
27.327318,0.008707227161380778,0.008707227161380778
25.899448,-0.00034430828517042773,0.00034430828517042773
25.10268,-0.00016953051870392536,0.00016953051870392536
21.890013,0.02363758086749118,0.02363758086749118
24.246906,0.008594872968098447,0.008594872968098447
22.894043,0.005356624412920809,0.005356624412920809
27.523626,0.00995934583675495,0.00995934583675495
27.114202,-0.00656924416494825,0.00656924416494825
21.519167,0.013184522925483054,0.013184522925483054
27.784582,0.016857880805575647,0.016857880805575647
27.17267,0.008061767747373659,0.008061767747373659
28.088795,0.002370294905625959,0.002370294905625959
20.35868,-0.004935624680501413,0.004935624680501413
25.448816,0.01669667396850956,0.01669667396850956
22.77574,-0.007507550515182542,0.007507550515182542
28.570173,-0.032980598253219945,0.032980598253219945
29.439337,0.004226589171374658,0.004226589171374658
29.536705,-0.015252958612792657,0.015252958612792657
24.90799,-0.004455023139754377,0.004455023139754377
22.076958,0.04288748256184838,0.04288748256184838
20.113705,0.01703948596655509,0.01703948596655509
21.414587,-0.006546890054109325,0.006546890054109325
25.286827,0.5595629223959483,0.5595629223959483
21.11865,0.022424058994395587,0.022424058994395587
22.802813,0.03015382701995006,0.03015382701995006
29.333908,-0.02619162834992493,0.02619162834992493
20.736492,0.00915722217972936,0.00915722217972936
25.323444,0.0038597641906077725,0.0038597641906077725
21.513802,-0.07983338901333659,0.07983338901333659
28.753605,0.007646306086761503,0.007646306086761503
25.391043,-0.026616796768783115,0.026616796768783115
22.313139,0.010319454920977186,0.010319454920977186
20.278101,0.008749268744323047,0.008749268744323047
25.874245,0.017964953128151682,0.017964953128151682
24.317955,0.015670419616227612,0.015670419616227612
24.16892,-0.014527248966145444,0.014527248966145444
25.245255,-0.010749410818705762,0.010749410818705762
27.10569,-0.002911464001592775,0.002911464001592775
28.041037,0.007399998916908956,0.007399998916908956
20.148836,0.04367217006582505,0.04367217006582505
29.29728,-0.0021891677749096496,0.0021891677749096496
20.212193,-0.42645187977171256,0.42645187977171256
20.474663,0.03088453524078555,0.03088453524078555
22.7253,0.009960602155912969,0.009960602155912969
25.11187,-0.0187690063020329,0.0187690063020329
29.538918,0.005492016605847165,0.005492016605847165
28.738302,-0.018388994684000744,0.018388994684000744
23.303562,0.006267750992977734,0.006267750992977734
28.911425,0.025826844649960178,0.025826844649960178
24.972338,0.00031769546234022345,0.00031769546234022345
25.331392,0.019415180690517123,0.019415180690517123
20.491621,0.2813816075962818,0.2813816075962818
22.283855,0.0007977535031986257,0.0007977535031986257
26.272121,-0.01400968490043363,0.01400968490043363
24.869255,0.008738208023864717,0.008738208023864717
21.505602,-0.00041135695428141277,0.00041135695428141277
20.887321,0.01609878191000831,0.01609878191000831
21.572096,0.06264534696856487,0.06264534696856487
26.283188,0.01688329774870732,0.01688329774870732
23.177166,0.019996884045353158,0.019996884045353158
26.010595,0.013957638761067365,0.013957638761067365
27.66686,0.010153112360965146,0.010153112360965146
24.6026,-0.025208738954022026,0.025208738954022026
20.050196,0.014933372369484712,0.014933372369484712
21.576523,-0.004484863043209944,0.004484863043209944
29.88425,0.004832317600482781,0.004832317600482781
26.971476,0.01783547559672801,0.01783547559672801
23.932552,-0.008680195141006977,0.008680195141006977
24.478094,-0.023552550012583214,0.023552550012583214
21.246433,0.060905637557817624,0.060905637557817624
21.770247,0.0001324957234968986,0.0001324957234968986
21.640963,-0.04761565401029081,0.04761565401029081
29.135689,0.00025814154516663843,0.00025814154516663843
22.82404,-0.015198024220049348,0.015198024220049348
28.841682,0.009825030140239582,0.009825030140239582
29.596369,0.009267313047801977,0.009267313047801977
29.482346,0.018294176125975215,0.018294176125975215
26.082067,0.021503285392719652,0.021503285392719652
24.182512,-0.013293413377234246,0.013293413377234246
24.213593,0.03236703498216416,0.03236703498216416
21.895868,0.057079685978739234,0.057079685978739234
23.687767,0.008311371991048866,0.008311371991048866
25.163445,0.009935878332525138,0.009935878332525138
24.984768,0.00802095147617705,0.00802095147617705
26.125366,0.01635856867884377,0.01635856867884377
27.44177,0.016913734664147844,0.016913734664147844
29.831478,0.00828192457116299,0.00828192457116299
24.316628,0.034811594843144986,0.034811594843144986
20.259851,-0.03363616851541753,0.03363616851541753
23.083422,0.01561240825751309,0.01561240825751309
29.326313,-0.0035691926349562518,0.0035691926349562518
29.011219,0.005704218652135012,0.005704218652135012
24.393871,0.02668457934926336,0.02668457934926336
22.35396,0.10668391451262882,0.10668391451262882
27.150593,0.010155255907896092,0.010155255907896092
24.513205,-0.005297301030551343,0.005297301030551343
21.71958,-0.0026089563030710166,0.0026089563030710166
20.889685,0.01638195109340686,0.01638195109340686
27.044437,0.004269437619018824,0.004269437619018824
23.19099,0.022975669457976994,0.022975669457976994
21.786142,0.009125227889347231,0.009125227889347231
27.200106,0.0033704647109725054,0.0033704647109725054
26.098274,0.011281978944454017,0.011281978944454017
26.82059,-0.002714707815871807,0.002714707815871807
23.618671,0.02690289441966319,0.02690289441966319
29.27219,0.011971088335850045,0.011971088335850045
29.855923,-0.03409562640049952,0.03409562640049952
27.87544,-0.002748550809031354,0.002748550809031354
26.868195,0.0007778066795973084,0.0007778066795973084
20.769512,0.001805894912484066,0.001805894912484066
24.960602,0.011984084020749138,0.011984084020749138
23.725119,0.011735678664900141,0.011735678664900141
29.123606,0.0064424965374446815,0.0064424965374446815
28.499092,-0.002935819386957097,0.002935819386957097
27.963255,0.007922837893426585,0.007922837893426585
20.318266,0.007783262278721501,0.007783262278721501
25.338142,-4.238795399562043e-05,4.238795399562043e-05
29.449404,0.0004414642244826217,0.0004414642244826217
27.909657,-0.0010603767205278186,0.0010603767205278186
27.218695,0.008094860846062348,0.008094860846062348
20.136753,0.021433913093207718,0.021433913093207718
20.271109,0.017420634394326017,0.017420634394326017
24.161455,-0.01678092300580928,0.01678092300580928
24.154327,0.014203812890718365,0.014203812890718365
25.35111,-0.00016965003384063912,0.00016965003384063912
27.432806,-0.017401789584670157,0.017401789584670157
22.206087,-0.013302741216092328,0.013302741216092328
28.495483,0.016525271337013415,0.016525271337013415
20.658136,0.008177849295796466,0.008177849295796466
29.358606,-0.0053825967828133444,0.0053825967828133444
26.623142,0.0019517597793228198,0.0019517597793228198
25.41738,-0.03700943409529988,0.03700943409529988
20.929373,-0.0026827871437558794,0.0026827871437558794
21.380287,0.002785788513335527,0.002785788513335527
27.985226,0.008068063967355779,0.008068063967355779
28.241844,0.013164620301873348,0.013164620301873348
22.496435,0.004322225097552358,0.004322225097552358
27.17807,-0.006466900102900404,0.006466900102900404
20.958296,-0.010994847183982522,0.010994847183982522
23.414177,0.016567193605284376,0.016567193605284376
22.632122,0.004495237245227851,0.004495237245227851
23.936214,-0.007421105865791517,0.007421105865791517
28.91724,0.006264928226530377,0.006264928226530377
27.87048,0.017731491450732686,0.017731491450732686
21.688707,0.015598949961407312,0.015598949961407312
27.778961,0.01905946814778817,0.01905946814778817
28.959766,0.004966434869430135,0.004966434869430135
29.812712,0.02242986928325462,0.02242986928325462
25.4051,-0.022629407015340518,0.022629407015340518
27.543213,0.014977513561764112,0.014977513561764112
26.768875,-0.0033694587775318814,0.0033694587775318814
22.721413,0.002750969462946337,0.002750969462946337
24.885475,0.03399547969289624,0.03399547969289624
29.097887,0.009334403131204403,0.009334403131204403
25.870077,0.017450898829385792,0.017450898829385792
24.346422,0.017287337490297382,0.017287337490297382
21.585535,0.015894998721233893,0.015894998721233893
24.890057,-0.03311023592724199,0.03311023592724199
29.630533,0.004699953568105168,0.004699953568105168
28.981033,0.01005899783184613,0.01005899783184613
22.4267,-0.013498652562067608,0.013498652562067608
29.91296,0.004831233519974217,0.004831233519974217
29.106297,0.007908000178209978,0.007908000178209978
21.860945,0.013257109744614422,0.013257109744614422
29.740927,0.008014172797362358,0.008014172797362358
24.54641,0.0025379988870164304,0.0025379988870164304
24.367859,-0.013775910572145273,0.013775910572145273
27.835238,-0.005197497688710022,0.005197497688710022
