snr_bin,cutoff_0.001,cutoff_0.005,cutoff_0.01,cutoff_0.02,cutoff_0.03,cutoff_0.04,cutoff_0.05,cutoff_0.06,cutoff_0.07,cutoff_0.08,cutoff_0.09,cutoff_0.1,cutoff_0.5,cutoff_1.0
30.5,0.10147783251231528,0.41182266009852214,0.7467980295566502,0.9221674876847291,0.961576354679803,0.9822660098522168,0.994088669950739,0.9950738916256158,0.9970443349753695,0.9970443349753695,0.9980295566502463,0.9980295566502463,1.0,1.0
31.5,0.09035532994923857,0.4781725888324873,0.7786802030456853,0.950253807106599,0.9715736040609138,0.9888324873096447,0.9928934010152284,0.9949238578680203,0.9959390862944163,0.9969543147208122,0.9969543147208122,0.9969543147208122,0.9989847715736041,1.0
32.5,0.1,0.48137254901960785,0.8166666666666667,0.9549019607843138,0.9833333333333333,0.9882352941176471,0.9931372549019608,0.996078431372549,0.996078431372549,0.9980392156862745,0.9980392156862745,0.9980392156862745,1.0,1.0
33.5,0.10334645669291338,0.5088582677165354,0.8179133858267716,0.9625984251968503,0.9862204724409449,0.9960629921259843,0.9960629921259843,0.9970472440944882,0.9980314960629921,0.9980314960629921,0.9980314960629921,0.9990157480314961,0.9990157480314961,1.0
34.5,0.088659793814433,0.4793814432989691,0.8206185567010309,0.965979381443299,0.9917525773195877,0.9969072164948454,0.9989690721649485,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.5,0.09661354581673307,0.5029880478087649,0.850597609561753,0.9760956175298805,0.9940239043824701,0.9970119521912351,0.999003984063745,0.999003984063745,0.999003984063745,0.999003984063745,0.999003984063745,0.999003984063745,1.0,1.0
36.5,0.07785642062689585,0.512639029322548,0.8584428715874621,0.9696663296258847,0.9868554095045501,0.9979777553083923,0.9989888776541962,0.9989888776541962,1.0,1.0,1.0,1.0,1.0,1.0
37.5,0.09654471544715447,0.5264227642276422,0.8861788617886179,0.9827235772357723,0.9949186991869918,0.9959349593495935,0.9989837398373984,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.5,0.07062436028659161,0.5005117707267144,0.8515864892528148,0.9744114636642784,0.9897645854657113,0.9969293756397134,0.9989764585465711,0.9989764585465711,0.9989764585465711,0.9989764585465711,0.9989764585465711,0.9989764585465711,1.0,1.0
39.5,0.09230769230769231,0.5384615384615384,0.9038461538461539,0.9817307692307692,0.9961538461538462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
