snr_bin,cutoff_0.001,cutoff_0.005,cutoff_0.01,cutoff_0.02,cutoff_0.03,cutoff_0.04,cutoff_0.05,cutoff_0.06,cutoff_0.07,cutoff_0.08,cutoff_0.09,cutoff_0.1,cutoff_0.5,cutoff_1.0
30.5,0.0374384236453202,0.21773399014778325,0.4935960591133005,0.8955665024630541,0.9773399014778326,0.9901477832512315,0.994088669950739,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.9960591133004926,0.9970443349753695,1.0,1.0
31.5,0.04467005076142132,0.21421319796954313,0.531979695431472,0.9350253807106599,0.9868020304568528,0.9928934010152284,0.9949238578680203,0.9959390862944163,0.9959390862944163,0.9959390862944163,0.9959390862944163,0.9959390862944163,0.9989847715736041,1.0
32.5,0.03627450980392157,0.21862745098039216,0.5490196078431373,0.9470588235294117,0.9882352941176471,0.9931372549019608,0.996078431372549,0.9970588235294118,0.9970588235294118,0.9980392156862745,0.9980392156862745,0.9980392156862745,1.0,1.0
33.5,0.040354330708661415,0.22539370078740156,0.5610236220472441,0.9429133858267716,0.9891732283464567,0.9960629921259843,0.9970472440944882,0.9990157480314961,0.9990157480314961,0.9990157480314961,0.9990157480314961,0.9990157480314961,1.0,1.0
34.5,0.03814432989690722,0.21855670103092784,0.5402061855670103,0.9639175257731959,0.9969072164948454,0.9979381443298969,0.9989690721649485,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.5,0.03187250996015936,0.20717131474103587,0.5388446215139442,0.9711155378486056,0.9970119521912351,0.999003984063745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36.5,0.03842264914054601,0.1961577350859454,0.5308392315470172,0.9565217391304348,0.9959555106167847,0.9979777553083923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37.5,0.04369918699186992,0.1991869918699187,0.551829268292683,0.9644308943089431,0.9969512195121951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.5,0.033776867963152504,0.2128966223132037,0.5527123848515865,0.9611054247697032,0.9938587512794268,0.9989764585465711,0.9989764585465711,0.9989764585465711,1.0,1.0,1.0,1.0,1.0,1.0
39.5,0.03653846153846154,0.2048076923076923,0.5432692307692307,0.9692307692307692,0.9961538461538462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
